Index,MSE_Bruto,MSE_Reconciliado,Reducao_Pct,Erro_Posicional_px,NormA_yHat,Lado
0,81664.592281,81664.592281,0.00,268.1122,0.00000000,ESQUERDO
1,418901.346181,112467.977211,73.15,396.6617,0.04557007,ESQUERDO
2,399206.056915,110949.462437,72.21,555.7368,0.04514298,ESQUERDO
3,223929.873675,223929.873675,0.00,670.5752,0.00000000,ESQUERDO
4,345964.012604,345964.012604,0.00,823.1880,0.00000000,ESQUERDO
5,149439.568343,149439.568343,0.00,1390.6308,0.00000000,DIREITO
6,301478.216585,211157.857643,29.96,1179.6072,0.06785432,DIREITO
7,165783.469118,165783.469118,0.00,773.6800,0.00000000,DIREITO
8,340017.954891,336359.443271,1.08,1366.5579,0.12047699,DIREITO
9,111552.848787,111552.848787,0.00,489.2933,0.00000000,DIREITO
10,723344.027345,723344.027345,0.00,1073.7072,0.00000000,DIREITO
11,422660.007412,146992.329900,65.22,698.9458,0.12483567,ESQUERDO
12,12261.977744,958.938129,92.18,90.7732,0.11642673,ESQUERDO
