Index,Lado,Media_X,Var_X,Media_Y,Var_Y,Media_VelX,Var_VelX,Media_VelY,Var_VelY
0,ESQUERDO,1.0078,801.667556,2.7701,2719.891420,-0.0748,0.006367,-0.0089,0.044955
1,DIREITO,-31.0065,2421.789787,25.4239,4493.317134,-0.0100,0.117012,-0.0280,0.022668
2,ESQUERDO,0.9405,613.138469,-26.6627,2194.631939,-0.0715,0.016946,0.0025,0.047252
3,DIREITO,12.8847,1157.574338,1.1260,3204.564643,-0.0642,0.060296,0.0247,0.008595
4,ESQUERDO,-1.3872,450.179682,-6.2258,1654.725427,-0.0409,0.015331,0.0001,0.025200
5,DIREITO,1.1698,3185.615272,5.7630,939.299038,0.0113,0.003639,0.0645,0.022820
6,ESQUERDO,0.0365,341.328035,-18.5209,4472.254779,0.0502,0.009681,-0.0014,0.037472
7,DIREITO,0.4834,1799.774362,-11.1284,1210.132524,0.0472,0.021917,0.0868,0.016687
8,ESQUERDO,-8.6120,280.558683,27.6919,2036.613959,0.0058,0.020783,-0.0795,0.019715
9,DIREITO,1.1569,891.587754,-23.0371,4636.854195,0.0490,0.027130,-0.0137,0.031262
10,ESQUERDO,3.5336,151.085694,-7.3992,4069.012713,-0.0291,0.007555,-0.0332,0.011380
11,DIREITO,-1.1652,624.885746,-1.8345,2767.532979,0.0288,0.013126,0.0124,0.014793
12,ESQUERDO,-0.3161,241.684529,11.9776,6447.246969,-0.0492,0.033743,-0.0246,0.039746
13,DIREITO,-12.6390,2314.742550,-13.2779,2471.654103,-0.0527,0.028737,-0.0257,0.010206
14,ESQUERDO,-4.2736,239.297344,-37.1888,6673.516164,-0.0520,0.019727,-0.0160,0.017024
15,DIREITO,55.7043,1624.372043,32.1334,4314.169119,-0.0201,0.009729,0.0263,0.043421
16,ESQUERDO,4.5681,140.419939,13.1354,3340.566833,0.0599,0.021036,-0.0316,0.017367
17,DIREITO,22.7888,421.561087,-4.3260,871.975290,0.0207,0.002812,0.0010,0.045983
18,ESQUERDO,11.3648,238.349678,-18.6581,4065.028248,-0.0835,0.063941,-0.0412,0.020414
19,DIREITO,-22.1925,594.884417,10.4399,122.862730,-0.1001,0.003677,-0.1052,0.021138
20,ESQUERDO,-1.6811,42.132413,-29.4069,2589.961873,-0.1612,0.019514,0.0232,0.001068
21,DIREITO,-11.9244,1628.161161,16.7052,844.522532,-0.0202,0.006548,0.0262,0.012584
22,ESQUERDO,4.9519,8.822373,23.2637,5199.307948,-0.0697,0.025945,-0.0175,0.015989
23,DIREITO,19.8613,474.094494,24.7162,2564.586317,-0.0314,0.032236,0.1434,0.156575
24,ESQUERDO,2.7835,42.400720,6.9089,15120.310865,-0.1196,0.042814,0.1081,0.012146
25,DIREITO,13.4420,571.489208,23.0338,3298.585372,0.0120,0.002549,0.0897,0.026819
26,ESQUERDO,-21.5110,625.253851,-34.2437,23.785800,0.1070,0.001240,0.0406,0.006688
27,DIREITO,19.0339,1036.004744,13.5341,427.241328,0.0280,0.021936,0.0518,0.003511
28,ESQUERDO,25.9399,0.000000,16.9573,0.000000,-0.2214,0.000000,0.0291,0.000000
29,DIREITO,-19.8981,885.616831,29.9500,1605.897156,-0.0753,0.042981,-0.1219,0.027417
30,ESQUERDO,16.2533,0.000000,-33.3756,0.000000,-0.0655,0.000000,0.0716,0.000000
31,DIREITO,21.7751,449.734354,-35.5717,8443.176684,0.0125,0.002609,-0.1279,0.034525
32,ESQUERDO,-12.2854,162.735701,-66.4938,2213.454434,0.0911,0.018488,0.1043,0.124674
33,ESQUERDO,-7.4924,722.548017,-23.3102,1354.467156,-0.0109,0.017408,0.0546,0.020255
34,ESQUERDO,2.7174,37.881147,-7.5600,472.513089,0.0243,0.044327,0.0338,0.086650
35,ESQUERDO,2.5950,68.271351,-6.7477,1435.889716,0.0725,0.035704,0.0887,0.029745
36,ESQUERDO,9.6598,107.469554,-1.1383,7311.352885,0.0738,0.014643,-0.0329,0.003848
37,ESQUERDO,4.7554,286.163538,-3.0832,3646.315893,-0.1257,0.090499,-0.1555,0.092308
38,ESQUERDO,4.0520,80.817466,11.0289,895.021623,-0.0631,0.028694,-0.0947,0.006990
