Index,Energia_Esq,Energia_Dir,Canhoes_Esq,Canhoes_Dir,Intervalo_Esq_ms,Intervalo_Dir_ms
0,100.00,100.00,0,0,0.00,0.00
1,100.00,100.00,0,0,0.00,0.00
2,100.00,100.00,0,0,0.00,0.00
3,100.00,100.00,0,0,0.00,0.00
4,100.00,100.00,0,0,0.00,0.00
5,100.00,100.00,0,0,0.00,0.00
6,100.00,100.00,0,0,0.00,0.00
7,100.00,100.00,0,0,0.00,0.00
8,100.00,100.00,0,0,0.00,0.00
9,100.00,99.00,0,1,0.00,1500.00
10,100.00,98.00,0,1,0.00,1500.00
11,100.00,97.10,0,1,0.00,1500.00
12,99.00,95.70,1,2,1500.00,1500.00
13,98.00,93.70,1,2,1500.00,1500.00
14,99.00,95.30,1,2,1500.00,1500.00
15,97.20,92.50,2,3,1500.00,1500.00
16,95.20,89.50,2,3,1500.00,1500.00
17,93.60,90.00,2,3,1500.00,1500.00
18,90.80,86.80,3,4,1500.00,1500.00
19,87.80,82.80,3,4,1500.00,1500.00
20,85.00,83.30,3,4,1500.00,1500.00
21,88.30,86.50,4,5,1500.00,1500.00
22,84.30,81.50,4,5,1500.00,1500.00
23,80.40,76.60,4,5,1500.00,1500.00
24,82.80,75.10,5,5,1500.00,1500.00
25,77.80,70.10,5,5,1500.00,1500.00
26,83.90,68.60,5,5,1500.00,1500.00
27,85.90,67.10,5,5,1500.00,1500.00
28,80.90,62.10,5,5,1500.00,1500.00
29,86.40,61.20,5,5,1500.00,1500.00
30,81.40,56.20,5,5,1500.00,1500.00
31,76.40,51.20,5,5,1500.00,1500.00
32,74.90,53.20,5,5,1500.00,1500.00
33,73.40,58.70,5,5,1500.00,1500.00
34,68.40,53.70,5,5,1500.00,1500.00
35,66.90,52.20,5,5,1500.00,1500.00
36,65.40,47.80,5,5,1500.00,1500.00
37,60.40,46.30,5,5,1500.00,1500.00
38,59.20,48.30,5,5,1500.00,1500.00
39,54.20,54.70,5,5,1500.00,1500.00
40,49.20,49.70,5,5,1500.00,1500.00
41,48.30,55.50,5,5,1500.00,1500.00
42,46.80,57.50,5,5,1500.00,1500.00
43,41.80,52.50,5,5,1500.00,1500.00
44,44.40,54.50,5,5,1500.00,1500.00
45,49.90,53.00,5,5,1500.00,1500.00
46,48.40,51.50,5,5,1500.00,1500.00
47,46.90,53.50,5,5,1500.00,1500.00
48,49.50,61.60,5,6,1500.00,1800.00
49,44.50,55.60,5,6,1500.00,1800.00
50,46.50,56.90,5,6,1500.00,1800.00
51,45.60,54.00,5,7,1500.00,2100.00
52,40.60,57.80,5,7,1500.00,2100.00
53,43.20,57.80,5,7,1500.00,2100.00
54,46.40,54.30,5,7,1500.00,2100.00
55,41.40,54.30,5,7,1500.00,2100.00
56,44.30,54.30,5,7,1500.00,2100.00
57,53.30,47.30,5,7,1500.00,2100.00
58,51.80,45.00,5,7,1500.00,2100.00
59,61.40,38.00,5,7,1500.00,2100.00
