Index,Lado,Energia_Restaurada,Energia_Apos,Abates_Cumulativos
0,DIREITO,0.30,100.00,1
1,DIREITO,0.10,98.10,2
2,DIREITO,0.60,97.70,3
3,ESQUERDO,0.10,100.00,1
4,DIREITO,0.10,93.80,4
5,ESQUERDO,3.50,100.00,2
6,DIREITO,3.50,97.30,5
7,DIREITO,0.10,95.40,6
8,ESQUERDO,0.10,99.10,3
9,DIREITO,0.10,95.50,7
10,ESQUERDO,0.10,99.20,4
11,DIREITO,3.50,93.00,8
12,ESQUERDO,0.30,95.50,5
13,ESQUERDO,0.10,95.60,6
14,ESQUERDO,0.10,93.70,7
15,DIREITO,0.60,90.60,9
16,DIREITO,0.10,90.70,10
17,ESQUERDO,0.10,93.80,8
18,DIREITO,0.10,90.80,11
19,ESQUERDO,0.10,87.90,9
20,DIREITO,0.60,83.40,12
21,DIREITO,0.10,83.50,13
22,DIREITO,0.30,83.80,14
23,DIREITO,3.50,87.30,15
24,ESQUERDO,0.10,88.00,10
25,DIREITO,3.50,86.80,16
26,ESQUERDO,3.50,88.50,11
27,ESQUERDO,0.30,88.80,13
28,ESQUERDO,3.50,92.30,13
29,DIREITO,3.50,90.30,17
30,DIREITO,0.60,90.90,18
31,DIREITO,0.60,91.50,19
32,ESQUERDO,0.10,84.40,14
33,DIREITO,0.10,81.60,20
34,DIREITO,3.50,80.10,21
35,ESQUERDO,0.10,80.50,15
36,ESQUERDO,3.50,84.00,17
37,ESQUERDO,3.50,87.50,17
38,ESQUERDO,0.30,87.80,18
39,DIREITO,3.50,73.60,22
40,ESQUERDO,3.50,81.30,19
41,ESQUERDO,3.50,84.80,20
42,ESQUERDO,3.50,88.30,21
43,ESQUERDO,0.60,88.90,22
44,ESQUERDO,3.50,87.40,23
45,ESQUERDO,3.50,90.90,24
46,DIREITO,3.50,72.10,23
47,DIREITO,3.50,65.60,24
48,ESQUERDO,3.50,84.40,25
49,DIREITO,0.60,66.20,25
50,ESQUERDO,3.50,87.90,26
51,ESQUERDO,3.50,91.40,27
52,ESQUERDO,3.50,79.90,28
53,DIREITO,3.50,54.70,26
54,DIREITO,3.50,58.20,27
55,DIREITO,3.50,56.70,28
56,ESQUERDO,3.50,78.40,29
57,DIREITO,3.50,60.20,29
58,DIREITO,3.50,63.70,30
59,DIREITO,3.50,57.20,31
60,ESQUERDO,3.50,71.90,30
61,ESQUERDO,3.50,70.40,31
62,DIREITO,0.60,52.80,32
63,DIREITO,3.50,51.30,33
64,ESQUERDO,3.50,63.90,32
65,ESQUERDO,0.30,64.20,33
66,DIREITO,3.50,49.80,34
67,DIREITO,3.50,53.30,35
68,DIREITO,3.50,51.80,36
69,DIREITO,3.50,55.30,38
70,DIREITO,3.50,58.80,38
71,DIREITO,0.60,59.40,39
72,DIREITO,0.30,59.70,40
73,DIREITO,3.50,53.20,41
74,ESQUERDO,0.60,49.80,34
75,DIREITO,3.50,56.70,42
76,DIREITO,0.30,57.00,43
77,ESQUERDO,3.50,53.30,35
78,DIREITO,3.50,60.50,44
79,ESQUERDO,3.50,51.80,36
80,DIREITO,3.50,59.00,45
81,DIREITO,3.50,62.50,46
82,ESQUERDO,3.50,45.30,37
83,ESQUERDO,0.60,45.90,38
84,DIREITO,3.50,56.00,47
85,DIREITO,3.50,59.50,48
86,ESQUERDO,3.50,49.40,39
87,ESQUERDO,3.50,47.90,40
88,ESQUERDO,3.50,51.40,41
89,DIREITO,3.50,58.00,49
90,ESQUERDO,3.50,54.90,42
91,ESQUERDO,3.50,53.40,43
92,DIREITO,3.50,56.50,50
93,DIREITO,3.50,55.00,51
94,ESQUERDO,3.50,51.90,44
95,DIREITO,3.50,58.50,52
96,DIREITO,0.10,53.60,53
97,DIREITO,3.50,57.10,55
98,DIREITO,3.50,60.60,55
99,DIREITO,3.50,64.10,56
100,ESQUERDO,0.60,47.50,46
101,ESQUERDO,3.50,51.00,46
102,DIREITO,3.50,67.60,57
103,ESQUERDO,3.50,54.50,47
104,ESQUERDO,3.50,48.00,48
105,ESQUERDO,3.50,51.50,49
106,DIREITO,0.30,55.90,58
107,DIREITO,3.50,59.40,59
108,DIREITO,3.50,62.90,60
109,ESQUERDO,3.50,50.00,50
110,DIREITO,0.60,57.50,61
111,ESQUERDO,0.60,50.60,51
112,DIREITO,3.50,61.00,62
113,DIREITO,0.30,54.30,63
114,DIREITO,3.50,57.80,64
115,DIREITO,3.50,61.30,65
116,DIREITO,3.50,64.80,66
117,ESQUERDO,0.60,41.20,52
118,ESQUERDO,3.50,44.70,53
119,ESQUERDO,3.50,48.20,54
120,DIREITO,3.50,61.30,67
121,DIREITO,3.50,64.80,68
122,DIREITO,3.50,61.30,69
123,ESQUERDO,0.60,43.80,55
124,ESQUERDO,0.60,44.40,56
125,ESQUERDO,3.50,47.90,57
126,ESQUERDO,3.50,51.40,58
127,DIREITO,3.50,57.80,70
128,DIREITO,3.50,61.30,71
129,DIREITO,3.50,57.80,72
130,ESQUERDO,0.60,42.00,59
131,DIREITO,3.50,61.30,73
132,ESQUERDO,3.50,45.50,60
133,ESQUERDO,0.30,45.80,61
134,ESQUERDO,3.50,49.30,62
135,ESQUERDO,3.50,47.80,63
136,ESQUERDO,3.50,51.30,64
137,ESQUERDO,3.50,54.80,65
138,ESQUERDO,3.50,58.30,66
139,ESQUERDO,3.50,56.80,67
140,DIREITO,0.60,47.90,74
141,DIREITO,0.60,48.50,75
142,DIREITO,3.50,52.00,76
143,ESQUERDO,3.50,55.30,68
144,ESQUERDO,3.50,58.80,70
145,ESQUERDO,3.50,62.30,70
146,ESQUERDO,3.50,65.80,71
147,ESQUERDO,0.60,66.40,72
